index,entry,combineScore,trueLabel
9.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  more*  <trackName>  The Way,0.8720000000000001,0.0
75.0,<entry1>  Atln - Jasmine Thompson - Love Is Just A Word ft. Calum Scott - P1 - R - 0062L00000WCTxSQAX  <entry2> <artistName>  Jasmine Thompson and Calum Scott  <trackName>  love is just a word,0.864,1.0
92.0,<entry1>  WrAu - Tiesto - The Motto feat. Ava Max - P1 - R - 0062L00000WChpjQAD [Ava Max]  <entry2> <artistName>  Tiësto & Ava Max  <trackName>  The Motto,0.8759999999999999,1.0
93.0,<entry1>  WrAu - Tiesto - The Motto feat. Ava Max - P1 - R - 0062L00000WChpjQAD [Tiesto]  <entry2> <artistName>  Tiësto & Ava Max  <trackName>  The Motto,0.8759999999999999,1.0
100.0,<entry1>  Atln - Jasmine Thompson - Love Is Just A Word ft. Calum Scott - P1 - R - 0062L00000WCTxSQAX [United States]  <entry2> <artistName>  Jasmine Thompson and Calum Scott  <trackName>  love is just a word,0.864,1.0
122.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.916,1.0
130.0,<entry1>  [A] WrNa - Warner Music Nashville - November YouTube Campaigns - P1 - R - 0062L00000WCWyiQAH  <entry2> <artistName>  Ash  <trackName>  Embers,0.8979999999999999,0.0
131.0,<entry1>  [A] WrNa - Warner Music Nashville - November YouTube Campaigns - P1 - R - 0062L00000WCWyiQAH  <entry2> <artistName>  gnash  <trackName>  us,0.92,0.0
141.0,<entry1>  YT - A36 - AREA 36 - Block - Preroll - Mot video  <entry2> <artistName>  13 Block  <trackName>  Vide,0.9,0.0
224.0,<entry1>  Neil Young Barn Album_CrazyHorse SongOfTheSeasons_Youtube_InStream Ad_awareness  <entry2> <artistName>  ORS  <trackName>  Intro,0.88,0.0
225.0,<entry1>  Neil Young Barn Album_CrazyHorse SongOfTheSeasons_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Intro,0.88,0.0
251.0,"<entry1>  N006347 iZaak x  Jay Wheeler  """"El Finde""""- Google Pre Roll Campaign- GOOGLE 4.5K  <entry2> <artistName>  Rampa  <trackName>  Roll",0.92,0.0
252.0,"<entry1>  N006347 iZaak x  Jay Wheeler  """"El Finde""""- Google Pre Roll Campaign- GOOGLE 4.5K  <entry2> <artistName>  Rampa  <trackName>  Ay",0.92,0.0
360.0,<entry1>  [OMV] Atln - Garrett Nash - Palm Trees - P1 - R - 0062L00000VJOUAQA5 [United States]  <entry2> <artistName>  gnash  <trackName>  Palm Trees,0.92,1.0
421.0,<entry1>  WrRE - Adam Melchor x Briston Maroney - Hold On For Dear Life - P1 - R - 0062L00000WCUvIQAX [United States]  <entry2> <artistName>  Adam  <trackName>  Dusta,0.88,0.0
460.0,<entry1>  N006396- Blessd Medallo -Pre Roll Campaign  Google 5k  <entry2> <artistName>  Rampa  <trackName>  Roll,0.92,0.0
511.0,<entry1>  AR - Pier - Mundo En Llamas (A Refacturar) - 1121 - N002852  <entry2> <artistName>  Pier  <trackName>  Almas,0.88,0.0
640.0,<entry1>  【あいみょん／ハート】_【tiktok】_【20211112-1130】  <entry2> <artistName>  Titiyo  <trackName>  13,0.868,0.0
691.0,<entry1>  Benson Boone - GHOST TOWN - Boost Benson - Local asset  <entry2> <artistName>  EBEN  <trackName>  Ghost Town,0.9,0.0
692.0,<entry1>  Benson Boone - GHOST TOWN - Boost Benson - Local asset  <entry2> <artistName>  Mala  <trackName>  One,0.9,0.0
791.0,<entry1>  DOM_DGerrard_Magic_ppe-youtube_12Nov2021  <entry2> <artistName>  210  <trackName>  Tub,0.92,0.0
852.0,<entry1>  [Iza & David Guetta - Family] Tráfego - 11.11.21  <entry2> <artistName>  IZA  <trackName>  Gueto,0.88,0.0
981.0,"<entry1>  [1869] - AR, Mariela Castiglioni, Anitta, Envolver, 60 K, Nov 2021  <entry2> <artistName>  STIG  <trackName>  Maria",0.88,0.0
991.0,"<entry1>  [1869] - AR, Mariela Castiglioni, Anitta, Envolver, 90K perfil de Anitta, Nov 2021  <entry2> <artistName>  STIG  <trackName>  Maria",0.88,0.0
1050.0,<entry1>  WMA / Jess Mauboy Glow / 2620 / PO67889  <entry2> <artistName>  Jessica Mauboy  <trackName>  Glow,0.916,1.0
1051.0,<entry1>  WMA / Jess Mauboy Glow / 2620 / PO67889  <entry2> <artistName>  JLS  <trackName>  Glow,0.868,0.0
1210.0,<entry1>  [FB - Bruno Mars] WrNz - Silk Sonic - Album - P1 - R - 0062L00000WCcoNQAT [New Zealand]  <entry2> <artistName>  Zeana  <trackName>  Run,0.92,0.0
1330.0,<entry1>  WrRE - Adam Melchor - x Briston Maroney - Holding on For Dear Life - P1 - R - 0062L00000WCUvIQAX [United States]  <entry2> <artistName>  Adam  <trackName>  Dusta,0.88,0.0
1331.0,<entry1>  WrRE - Adam Melchor - x Briston Maroney - Holding on For Dear Life - P1 - R - 0062L00000WCUvIQAX [United States]  <entry2> <artistName>  Adam Melchor & Briston Maroney  <trackName>  Hold on for Dear Life,0.8760000000000001,1.0
